State,District,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
maharashtra,parbhani,109,109,109,109,109,109,109,109,109,109,109,109,109
maharashtra,pune,109,109,109,109,109,109,109,109,109,109,109,109,109
maharashtra,raigad,7,7,7,7,7,7,7,7,7,7,7,7,7
maharashtra,ratnagiri,7,7,7,7,7,7,7,7,7,7,7,7,7
maharashtra,sangli,109,109,109,109,109,109,109,109,109,109,109,109,109
maharashtra,satara,109,109,109,109,109,109,109,109,109,109,109,109,109
maharashtra,sholapur,109,109,109,109,109,109,109,109,109,109,109,109,109
maharashtra,sindhudurg,7,7,7,7,7,7,7,7,7,7,7,7,7
maharashtra,thane,8,7,7,7,7,7,7,7,7,7,7,7,7
maharashtra,wardha,109,109,109,109,109,109,109,109,109,109,109,109,109
maharashtra,washim,109,109,108,109,109,109,109,109,109,109,109,109,109
maharashtra,yeotmal,109,109,109,109,109,109,109,109,109,109,109,109,109
manipur,bishnupur,102,102,102,102,102,102,102,102,102,102,102,102,102
manipur,chandel,102,102,102,102,102,102,102,102,102,102,102,102,102
manipur,churachandpur,109,102,102,102,102,102,102,102,102,102,102,102,102
manipur,imphal,109,109,109,109,109,109,109,109,109,109,109,109,109
manipur,imphal east,102,102,102,102,102,102,102,102,102,102,102,102,102
manipur,imphal west,102,102,102,102,102,102,102,102,102,102,102,102,102
manipur,senapati,109,107,107,107,107,107,107,107,105,107,106,106,106
manipur,tamenglong,102,102,102,102,102,102,102,102,102,102,102,102,102
manipur,thoubal,102,102,102,102,102,102,102,102,102,102,102,102,102
manipur,ukhrul,102,102,102,102,102,102,102,102,102,102,102,102,102
meghalaya,east garo hills,109,107,108,108,108,108,108,108,108,108,108,108,108
meghalaya,east khasi hills,109,109,109,109,109,109,109,109,109,109,109,109,109
meghalaya,jaintia hills,109,106,106,106,106,106,105,105,105,105,105,105,105
meghalaya,west garo hills,102,102,102,102,102,102,102,102,102,102,102,102,102
meghalaya,west khasi hills,102,102,102,102,102,102,102,102,102,102,102,102,102
mizoram,aizwal,109,109,109,108,109,109,109,109,109,109,109,109,109
mizoram,champhai,102,102,102,102,102,102,102,102,102,102,102,102,102
mizoram,chhimtuipui,7,3,5,4,5,4,4,4,3,5,3,4,5
mizoram,kolasib,102,102,102,102,102,102,102,102,102,102,102,102,102
mizoram,lawngtlai,102,102,102,102,102,102,102,102,102,102,102,102,102
mizoram,lunglei,102,102,102,102,102,102,102,102,102,102,102,102,102
mizoram,mamit,102,102,102,102,102,102,102,102,102,102,102,102,102
mizoram,saiha,102,102,102,102,102,102,102,102,102,102,102,102,102
nagaland,kohima,109,109,109,109,109,109,109,109,109,109,109,109,109
nagaland,mokokchung,102,102,102,102,102,102,102,102,102,102,102,102,102
nagaland,mon,109,106,108,109,108,107,107,105,105,108,104,105,107
nagaland,phek,109,109,109,109,109,109,109,109,109,109,109,109,109
nagaland,tuensang,109,107,107,108,108,108,108,108,108,108,107,107,108
nagaland,wokha,102,102,102,102,102,102,102,102,102,102,102,102,102
nagaland,zunheboto,102,102,102,102,102,102,102,102,102,102,102,102,102
orissa,angul,109,109,109,109,109,109,109,109,109,109,109,109,109
orissa,balangir,109,109,109,109,109,109,109,109,109,109,109,109,109
orissa,balasore,109,109,109,109,109,109,109,109,109,109,109,109,109
